_id,SchoolYear,HBR,HBRQF,ValidReviews,EpiUnderweight,LCIEpiUnderweight,UCIEpiUnderweight,EpiHealthyWeight,LCIEpiHealthyWeight,UCIEpiHealthyWeight,EpiOverweight,LCIEpiOverweight,UCIEpiOverweight,EpiObese,LCIEpiObese,UCIEpiObese,EpiOverweightAndObese,LCIEpiOverweightAndObese,UCIEpiOverweightAndObese
1,2007/08,S08000015, ,3176,0.0170025188916877,0.0152775056978916,0.0187275320854837,0.762909319899244,0.757234484266699,0.76858415553179,0.120277078085642,0.11593673585746,0.124617420313825,0.0998110831234257,0.0958114901139528,0.103810676132899,0.220088161209068,0.214560000205891,0.225616322212245
2,2008/09,S08000015, ,3394,0.021508544490277,0.0199893468521582,0.0230277421283958,0.790512669416618,0.786251159088012,0.794774179745223,0.106069534472599,0.102844922610252,0.109294146334945,0.0819092516205068,0.0790375485592734,0.0847809546817402,0.187978786093105,0.183887419877573,0.192070152308638
3,2009/10,S08000015, ,3402,0.0164609053497942,0.0150599936723014,0.0178618170272871,0.754262198706643,0.749522123434016,0.75900227397927,0.129041740152851,0.125350673739986,0.132732806565717,0.100235155790711,0.0969287007034761,0.103541610877947,0.229276895943563,0.224648639455361,0.233905152431764
4,2010/11,S08000015, ,3530,0.011614730878187,0.010558549217226,0.012670912539148,0.725495750708215,0.721096660304989,0.729894841111441,0.145325779036827,0.141851677183509,0.148799880890146,0.117563739376771,0.114388698776674,0.120738779976867,0.262889518413598,0.258550176777307,0.267228860049889
5,2011/12,S08000015, ,3714,0.012924071082391,0.0122014263158693,0.0136467158489126,0.741249326871298,0.73844729666751,0.744051357075085,0.135702746365105,0.133511577757548,0.137893914972662,0.110123855681206,0.10812097351894,0.112126737843472,0.245826602046311,0.243071739364513,0.248581464728109
6,2012/13,S08000015, ,3778,0.0148226574907358,0.0140073646296051,0.0156379503518666,0.747485442032822,0.744554292495671,0.750416591569972,0.127051349920593,0.124804482815789,0.129298217025397,0.11064055055585,0.108524192131596,0.112756908980103,0.237691900476443,0.234820023354964,0.240563777597921
7,2013/14,S08000015, ,3749,0.0138703654307815,0.01295555914685,0.0147851717147131,0.707121899173113,0.703562237062005,0.710681561284221,0.142971459055748,0.140233414571656,0.14570950353984,0.136036276340357,0.133354680618286,0.138717872062429,0.279007735396106,0.275499476725905,0.282515994066306
8,2014/15,S08000015, ,3758,0.0122405534858968,0.0113413279009665,0.0131397790708271,0.755987227248537,0.752474810494003,0.75949964400307,0.121075039914848,0.118407286155444,0.123742793674253,0.110697179350718,0.108131303475242,0.113263055226195,0.231772219265567,0.228321431696761,0.235223006834373
9,2015/16,S08000015, ,3825,0.0120261437908497,0.0114235863638983,0.0126287012178011,0.743790849673203,0.741377694466867,0.746204004879538,0.131764705882353,0.129894967738404,0.133634444026302,0.112418300653595,0.110672135974832,0.114164465332358,0.244183006535948,0.241808198193091,0.246557814878805
10,2016/17,S08000015, ,3843,0.0132708821233411,0.0124181090193341,0.0141236552273482,0.737444704657819,0.734165566248738,0.7407238430669,0.128024980483997,0.125535068431566,0.130514892536428,0.121259432734843,0.1188268213734,0.123692044096285,0.249284413218839,0.246060599750081,0.252508226687598
11,2017/18,S08000015, ,3501,0.0142816338189089,0.0128728207044543,0.0156904469333634,0.764353041988004,0.759313791659683,0.769392292316324,0.12225078548986,0.118361238088083,0.126140332891637,0.0991145387032276,0.0955664743698289,0.102662603036626,0.221365324193088,0.216435746894868,0.226294901491308
12,2018/19,S08000015, ,2587,0.0146888287591805,0.0121292222751325,0.0172484352432285,0.754155392346347,0.744994164633997,0.763316620058697,0.128333977580209,0.121217930699285,0.135450024461132,0.102821801314264,0.0963596834619371,0.10928391916659,0.231155778894472,0.222186356653412,0.240125201135533
13,2019/20,S08000015, ,1936,0.0113636363636364,0.00812871038557738,0.0145985623416953,0.761880165289256,0.748880609467747,0.774879721110765,0.121900826446281,0.111915494598443,0.131886158294119,0.104855371900826,0.0955049901840123,0.114205753617641,0.226756198347107,0.213976364700546,0.239536031993669
14,2020/21,S08000015, ,3103,0.0128907508862391,0.0112118337060416,0.0145696680664367,0.662584595552691,0.655547220855672,0.66962197024971,0.139542378343539,0.134385043157699,0.144699713529378,0.184982275217531,0.179203229368486,0.190761321066576,0.32452465356107,0.31755620411704,0.3314931030051
15,2021/22,S08000015, ,3296,0.0130461165048544,0.011725862411733,0.0143663705979758,0.713895631067961,0.708637298219971,0.719153963915952,0.142293689320388,0.138228969747548,0.146358408893229,0.130764563106796,0.126841889156616,0.134687237056976,0.273058252427184,0.267874480030846,0.278242024823523
16,2022/23,S08000015, ,3229,0.00836172189532363,0.00771482481328062,0.00900861897736664,0.770207494580365,0.767218793424226,0.773196195736505,0.124496748219263,0.122151339274567,0.126842157163959,0.096934035305048,0.0948321521246985,0.0990359184853975,0.221430783524311,0.218481080429316,0.224380486619306
17,2023/24,S08000015, ,3088,0.00971502590673575,0.00865929227406663,0.0107707595394049,0.754533678756477,0.749901476086156,0.759165881426798,0.122733160621762,0.119201336269258,0.126264984974265,0.113018134715026,0.109610259226195,0.116426010203857,0.235751295336788,0.23118255284693,0.240320037826645
18,2001/02,S08000016, ,829,0.00844390832328106,0.00480780455203662,0.0120800120945255,0.765983112183354,0.74915873221952,0.782807492147187,0.141133896260555,0.127298733647652,0.154969058873458,0.0844390832328106,0.0733901271260924,0.0954880393395289,0.225572979493366,0.208964125868604,0.242181833118127
